filename,influencer,non_influencer,category
7040173254186634501_lucymassad_1639168071,0.928188769317529,0.0718112306824711,0
6834331690282831110_toponlinefinds_1591241851,0.9981076554876531,0.0018923445123468791,0
7143391067323387182_nalae.co_1663200354,0.823138953747789,0.1768610462522108,0
7228957130441755931_herios.co.uk_1683122749,4.628816709952056e-06,0.99999537118329,1
7158944713012251950_teachingwithmsd_1666821715,0.033556921376753125,0.966443078623247,1
7118086870155971886_kaelimaee_1657308751,0.0026544382625621086,0.9973455617374379,1
7236885066616442155_bordanjillings_1684968615,0.5280477340428762,0.47195226595712375,0
7371949051522370862,0.012277453404102953,0.9877225465958971,1
7367476378096209195,0.7319493573820808,0.26805064261791917,0
7367065541300849962,0.42421158186685776,0.5757884181331422,0
7370812998258068778,0.2940392476840611,0.7059607523159388,1
7366718783014128939,0.42713822295445275,0.5728617770455472,0
7366358387824626987,0.0372851278404065,0.9627148721595934,1
7368971124085968171,0.3802105120298606,0.6197894879701394,1
7369405756812168490,0.8844265148269098,0.1155734851730903,0
7366482419240684843,0.04522349227022429,0.9547765077297758,1
7368639865606376750,0.48289601092815637,0.5171039890718436,0
7370062099373952298,0.5799321964679502,0.42006780353204975,0
7370426645578124586,0.950629923062554,0.049370076937446,0
7368207501084413227,0.12443179487260084,0.8755682051273993,1
7371554855921470766,0.3450456915377171,0.6549543084622829,1
7365989486343245098,0.1917435129996933,0.8082564870003067,1
7369631430684511530,0.028071936272630348,0.9719280637273697,1
7367920534711029035,0.3115261069544394,0.6884738930455606,1
7365336902183980331,0.1444326957939855,0.8555673042060146,1
7371158344582565163,0.07760325045461783,0.9223967495453823,1
7365630569985658154,0.17283069496642478,0.8271693050335753,1
7380389064479886623,0.5432876094291296,0.4567123905708704,0
7384163610227903774,0.8739301093147792,0.12606989068522095,0
7381635985609657630,0.9872081386197216,0.012791861380278382,0
7038411139931278598,0.9334534111189932,0.06654658888100697,0
7379784629701594414,0.9523567621958553,0.04764323780414477,0
7379384217614159150,0.9522491275128053,0.04775087248719451,0
7377539164281015594,0.5,0.5,0
7381990080363138334,0.8506449440454121,0.14935505595458778,0
7379461225106771243,0.9940797189565725,0.005920281043427465,0
7077545446637440299,0.03760256847100447,0.9623974315289956,1
7379629763830353195,0.42827927840837937,0.5717207215916206,0
7037108757741980933,0.855405012213747,0.14459498778625302,0
7384486335580572959,0.9341532286822041,0.06584677131779583,0
7383147829293894943,0.9273766340661459,0.07262336593385431,0
7382773180017986847,0.3521171018049259,0.647882898195074,1
7384575534681918751,0.7305796989282749,0.269420301071725,0
7380155133021277483,0.9836390776851551,0.016360922314844942,0
7380515279836564766,0.9440796940552917,0.05592030594470833,0
