id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,isAd
7092564790085766406,Anya,anya.bumag,819,5,6938,66,120300,16,
7091822420792741126,Anya,anya.bumag,1026,10,5189,121,82500,15,
7090326054711151878,Anya,anya.bumag,614,8,2255,102,55200,10,
7089972182809365766,Anya,anya.bumag,307,3,1651,68,50700,15,
7084320869635443974,Anya,anya.bumag,1062,29,5794,227,89300,14,
7081801273447697670,Anya,anya.bumag,721,16,5320,148,99400,9,
7034321177233427717,Anya,anya.bumag,717,19,4814,234,78200,11,
7032788959692328198,Anya,anya.bumag,286,5,3294,23,52400,14,
7032084423692668166,Anya,anya.bumag,255,3,1968,51,43700,14,
7031710160045329669,Anya,anya.bumag,350,12,4177,44,66100,11,
7030974637961956613,Anya,anya.bumag,269,8,1380,87,33700,26,
7029486583434710278,Anya,anya.bumag,617,10,6424,227,78200,12,
7021657209784323334,Anya,anya.bumag,1136,24,12100,202,151000,16,
7021305624117906694,Anya,anya.bumag,1178,37,7875,434,101700,15,
7020935587834137861,Anya,anya.bumag,542,13,5347,136,71100,11,
7018699638920285446,Anya,anya.bumag,419,24,3743,128,55800,17,
7012338157165284614,Anya,anya.bumag,487,32,6740,263,87700,22,
7012008306986241285,Anya,anya.bumag,731,14,10300,164,112200,17,
7007951477993966853,Anya,anya.bumag,593,25,5554,262,68200,15,
6882453406762552577,Anya,anya.bumag,5269,107,47300,2017,507200,13,
6874662778632719618,Anya,anya.bumag,1866,33,26600,352,526900,13,
6872872053251329282,Anya,anya.bumag,3418,88,39200,1273,499700,19,
6870263019369188613,Anya,anya.bumag,5189,113,45100,1255,587500,15,
6868039054479363334,Anya,anya.bumag,3267,69,38100,633,590000,20,
6867877889153486085,Anya,anya.bumag,2521,30,26100,444,425800,13,
6866555970877672710,Anya,anya.bumag,2623,43,20800,643,381500,33,
6864703529190247686,Anya,anya.bumag,1608,22,19900,368,385400,15,
6863965947003194630,Anya,anya.bumag,3046,102,23400,747,359100,17,
6862844057161403654,Anya,anya.bumag,4240,60,34700,1129,389800,22,
6862468220977155334,Anya,anya.bumag,5495,134,53500,1689,657100,28,
6862108511946427654,Anya,anya.bumag,3322,66,27800,878,324700,33,
7382301967000849669,Anya,anya.bumag,5552,166,36600,6407,797500,26,
7381204661639892229,Anya,anya.bumag,536,4,2451,106,43300,21,
7380156273687334150,Anya,anya.bumag,116,1,498,23,24200,16,
7371160477365325061,Anya,anya.bumag,36500,265,102700,18700,2100000,19,
7369313863537315077,Anya,anya.bumag,2551,22,8025,859,176100,13,
7367465976272653573,Anya,anya.bumag,24400,143,53900,9029,1100000,16,
7361905109858520325,Anya,anya.bumag,2208,15,6541,518,125000,17,
7360780214151957766,Anya,anya.bumag,2999,41,7049,1811,156700,16,
7357078531039350021,Anya,anya.bumag,1065,14,3331,186,89800,19,
7355594196645973254,Anya,anya.bumag,778,21,2645,193,289800,21,True
7355209670811766022,Anya,anya.bumag,4020,59,10500,2330,780800,17,
7354485942838643973,Anya,anya.bumag,10700,173,25900,2783,784200,26,
7353720205643615493,Anya,anya.bumag,4247,52,9510,1532,366500,28,True
7350011611639254277,Anya,anya.bumag,20400,88,48800,12700,1300000,20,
7348156814791396613,Anya,anya.bumag,49300,434,129700,13400,3300000,22,
7345182974737927430,Anya,anya.bumag,1064,27,3805,432,136100,17,
7337781069606948101,Anya,anya.bumag,909,15,2342,176,73300,14,
7332213980980612358,Anya,anya.bumag,37800,183,99600,5317,2200000,19,
7330359330300054789,Anya,anya.bumag,63800,1917,338900,50800,7200000,18,
7328499920971877638,Anya,anya.bumag,16900,177,92600,2455,2600000,16,
7323311787816799493,Anya,anya.bumag,1047,9,3466,163,102400,23,
7321826182817778949,Anya,anya.bumag,2957,32,8602,375,254600,14,
7319608426823224582,Anya,anya.bumag,11300,68,35000,1423,921700,15,
7317752500084329734,Anya,anya.bumag,4429,40,18600,591,395000,12,
7316267352415390981,Anya,anya.bumag,77200,886,222000,25400,8500000,17,
7314413844707773701,Anya,anya.bumag,58500,446,221200,7801,5100000,17,
7313285051192544517,Anya,anya.bumag,4634,59,10500,643,342600,12,
7311802653531491590,Anya,anya.bumag,1942,35,13500,116,490300,13,
7310320061271657734,Anya,anya.bumag,66800,1394,505000,16100,14200000,11,
7306611302728731909,Anya,anya.bumag,2776,69,13000,850,538700,10,
7305060059841580294,Anya,anya.bumag,44400,302,131800,5631,3600000,33,
7304380446132014342,Anya,anya.bumag,22600,456,64000,14600,3300000,14,
7302534289931963654,Anya,anya.bumag,8143,69,20700,849,583700,16,
7299930664323861765,Anya,anya.bumag,16400,379,52000,7074,2200000,15,
7297313190218697990,Anya,anya.bumag,49500,1570,180600,75100,11900000,12,
7295832803508358406,Anya,anya.bumag,32200,272,115400,4735,4300000,14,
7288421853054422278,Anya,anya.bumag,3308,27,8686,715,287000,14,
7288040005803527429,Anya,anya.bumag,1623,25,4070,303,192000,11,
7286552034021543174,Anya,anya.bumag,2704,46,15400,825,629200,13,
7285438252788485382,Anya,anya.bumag,8355,90,18800,4731,1100000,11,
7284697038158122246,Anya,anya.bumag,27600,395,54400,7648,1600000,15,
7283584008963869957,Anya,anya.bumag,3567,21,10600,681,451300,11,
7280615789126765829,Anya,anya.bumag,14800,599,35100,7266,1600000,12,
7278759417238129926,Anya,anya.bumag,21400,244,65800,7242,2300000,14,
7278019134456139013,Anya,anya.bumag,14100,179,38600,2492,1100000,15,
7274676595716082949,Anya,anya.bumag,18900,166,43200,8054,1300000,11,
7273194906640780550,Anya,anya.bumag,5171,26,12900,1078,332300,17,
7272081185449299206,Anya,anya.bumag,1713,12,4832,341,148100,13,
7270967634139647238,Anya,anya.bumag,149200,873,601300,66600,10100000,16,
7269484888301014277,Anya,anya.bumag,34300,413,90100,30700,2900000,12,
7268001371599768838,Anya,anya.bumag,992,11,2964,178,126600,22,
7263547162678643973,Anya,anya.bumag,18500,158,80100,5976,1400000,14,
7262805206851767557,Anya,anya.bumag,19800,166,83300,8850,2200000,18,
7259464432512748806,Anya,anya.bumag,32600,336,77900,7953,1900000,17,
7257980884203097350,Anya,anya.bumag,234900,7414,1200000,171300,31300000,11,
7254757772485528837,Anya,anya.bumag,3828,26,10200,707,318900,14,
6955634285432884486,Anya,anya.bumag,1045,42,8643,411,183700,16,
6954883200082545925,Anya,anya.bumag,7391,268,164500,681,1200000,22,
6954135129690262789,Anya,anya.bumag,6892,1051,126000,8175,3500000,13,
6953404769633357061,Anya,anya.bumag,1694,48,14400,771,216400,23,
6947832857003822342,Anya,anya.bumag,1837,37,16600,365,250000,17,
6946352858728058118,Anya,anya.bumag,1632,47,16000,868,228400,17,
6945240722165533958,Anya,anya.bumag,1190,23,11700,225,227400,18,
6944809002559704325,Anya,anya.bumag,11000,220,68500,2206,389100,31,
6943751202626735365,Anya,anya.bumag,73500,1338,412300,14400,3300000,20,
6943380532927532294,Anya,anya.bumag,1406,53,17300,427,242900,16,
6940415269915413766,Anya,anya.bumag,8334,404,69900,5896,1200000,16,
6939621729669041413,Anya,anya.bumag,1675,55,11500,441,191000,20,
6939293230886292741,Anya,anya.bumag,1648,33,13300,538,206400,16,
6935979779699100934,Anya,anya.bumag,1030,19,12500,364,201500,18,
6935589014468693254,Anya,anya.bumag,1541,50,19800,298,474000,13,
6934413434016632069,Anya,anya.bumag,20100,874,219000,6354,2200000,14,
6934102334364503302,Anya,anya.bumag,1558,87,18400,305,309100,17,
6933005622296317189,Anya,anya.bumag,651,31,12000,201,239600,16,
6932634722707229957,Anya,anya.bumag,1852,57,15500,671,222400,20,
6931852735834787077,Anya,anya.bumag,1912,103,17500,1050,279300,16,
6930413296088567045,Anya,anya.bumag,4199,112,47900,1413,1100000,16,
6929666989648661766,Anya,anya.bumag,2721,98,28600,928,322100,17,
6929218082015579397,Anya,anya.bumag,1148,25,12500,286,229200,13,
6927823118979419398,Anya,anya.bumag,921,68,13300,131,255000,17,
6926625177409293574,Anya,anya.bumag,402,1531,10400,692,209600,24,
6926309509912595717,Anya,anya.bumag,1565,31,15000,679,254100,17,
7080324257275825414,Anya,anya.bumag,1548,31,6121,192,80600,18,
7078831873845120261,Anya,anya.bumag,1209,12,9308,308,117000,9,
7062518930752982278,Anya,anya.bumag,467,4,4032,38,70700,15,
7059929228770282758,Anya,anya.bumag,2191,18,17200,304,159500,12,
7058047384709876997,Anya,anya.bumag,618,18,5569,117,88600,10,
7056944642704624902,Anya,anya.bumag,1215,22,6148,161,81000,12,
7048350770369940741,Anya,anya.bumag,688,16,5759,86,85500,20,
7045673453214584070,Anya,anya.bumag,127,25,4152,18,55800,49,
7042732597071432965,Anya,anya.bumag,456,3,2899,74,50500,14,
