file_name,intonations,duration,intonation_per_15,id,author_uniqueId,stats_diggCount,stats_shareCount,stats_commentCount,stats_playCount,stats_collectCount,authorStats_followingCount,authorStats_followerCount,authorStats_heartCount,authorStats_videoCount,authorStats_diggCount
7289146014349462816_pitch_values,152,194.9115419501134,11.697614092979444,7289146014349462816,tattylomas,1000000,4577,4857,16400000,57900,677,1400000,38300000,1013,153200
7341918758727961899_pitch_values,79,447.541746031746,2.6477976870473734,7341918758727961899,daveybad,285600,3337,4415,2000000,28900,362,455000,24800000,476,15000
7375596799760846123_pitch_values,23,99.06827664399091,3.4824467699158896,7375596799760846123,nickii,33500,857,618,592600,5771,2,7300000,239600000,2355,14900
7311096874604465454_pitch_values,69,137.4160317460317,7.531872277558245,7311096874604465454,ann_natalie,287100,51300,6006,4200000,33600,847,129900,3300000,251,88100
7344175324252474670_pitch_values,494,447.3066439909297,16.565816983818948,7344175324252474670,sabyhesri,134400,1429,938,1600000,10100,142,2700000,48100000,663,15200
6852080219252215045_pitch_values,85,58.5262358276644,21.78510170642699,6852080219252215045,emelywithane_,1100000,8577,5705,5200000,60500,203,6000000,206300000,1103,40300
7336664815701626154_pitch_values,44,62.60133786848073,10.542905670587988,7336664815701626154,imnotgdub,331900,1197,6172,2600000,29500,156,375100,31500000,2195,76200
7373728223101766955_pitch_values,122,203.45358276643992,8.994680629934143,7373728223101766955,taraynalexess,359600,116200,8068,5200000,16900,3064,26200,1100000,1451,207300
7350339800630693162_pitch_values,112,161.00460317460318,10.434484274826016,7350339800630693162,tyetun,149300,2521,1311,1500000,30200,122,4400000,90100000,146,5113
7394879095525379358_pitch_values,482,461.882970521542,15.65331579953281,7394879095525379358,kelsgordon,998,5,34,11700,76,356,143300,3800000,188,4501
7267745540069199147_pitch_values,232,182.42501133786848,19.0763315538718,7267745540069199147,abbymonea,452000,39900,3736,2500000,23000,302,214500,20700000,613,107300
7343041465393696001_pitch_values,117,235.767052154195,7.44378819671633,7343041465393696001,kaivaugha,351500,784,839,3300000,10700,104,66600,8600000,616,412
7394896925377482014_pitch_values,44,70.88215419501134,9.311229427144731,7394896925377482014,princeschloee,448,2,6,3300,17,999,271400,16800000,2004,174100
7338664339655740702_pitch_values,32,69.3931746031746,6.917106801135468,7338664339655740702,.eslis,576000,1261,1485,3400000,56400,73,2700000,140100000,288,13800
7148471887763574022_pitch_values,113,132.81848072562357,12.761778261125658,7148471887763574022,sam_d0ll,528800,5703,2120,4100000,20200,1097,864200,48500000,785,28800
7372326235298385195_pitch_values,112,187.20541950113372,8.974099171257302,7372326235298385195,www.notkaymaire,302500,3619,3090,3900000,58400,27,424500,4600000,44,7696
7341939067518455086_pitch_values,59,74.72215419501134,11.843876953685111,7341939067518455086,stphlimreads,2200000,103800,16900,12100000,222500,449,53600,3700000,400,12400
7283910300804369694_pitch_values,128,103.09113378684808,18.624298031000464,7283910300804369694,averycyrus,917400,12900,4284,11500000,47500,457,9300000,395500000,976,19800
7324054523721518382_pitch_values,83,154.47399092970522,8.05960920998376,7324054523721518382,izaiah425,52700,884,437,381300,3208,666,5201,118100,158,37100
7322614459007044907_pitch_values,374,440.1490929705216,12.745681155761742,7322614459007044907,sliceofzai,202400,1248,1653,1800000,13600,444,25200,2000000,453,65900
