file_name,intonations,duration,intonation_per_15,id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,isAd,authorStats_followingCount,authorStats_followerCount,authorStats_likeCount
7184594923650305322_pitch_values,39,19.420929705215418,30.122141878866927,7184594923650305322,Margaret & Stetson,everythingenvy,893,3,2788,158,79700,19,,27,406000,9400000
7161077330792811782_pitch_values,19,21.27562358276644,13.395612067081975,7161077330792811782,Sam Shan Shops 🦋,sam.shan.shops,167,3,724,22,34900,21,,937,1100000,41300000
7293648321652985130_pitch_values,62,54.790725623582766,16.97367555212143,7293648321652985130,Jared Andersen,stuffyouactuallyneed,2050,36,15100,220,163100,54,,1083,1400000,65700000
7077566747318062382_pitch_values,24,20.72705215419501,17.368605883839518,7077566747318062382,Sarah Lindner,thehouseofsequins,117,8,1370,35,18700,20,,27,417300,14300000
7366018710248672517_pitch_values,34,16.625827664399093,30.67516458696752,7366018710248672517,Sam Shan Shops 🦋,sam.shan.shops,4891,46,21500,2533,774700,16,True,937,1100000,41300000
6939293230886292741_pitch_values,15,16.730317460317462,13.448639007220043,6939293230886292741,Anya,anya.bumag,1648,33,13300,538,206400,16,,278,818700,21800000
7335562674899635461_pitch_values,38,18.40215419501133,30.97463448896228,7335562674899635461,Sam Shan Shops 🦋,sam.shan.shops,49200,228,153000,8930,2500000,18,,937,1100000,41300000
7298848747755146542_pitch_values,39,38.22909297052154,15.30248181538321,7298848747755146542,Jared Andersen,stuffyouactuallyneed,1018,23,8109,80,118000,38,,1083,1400000,65700000
7298726899356929285_pitch_values,28,23.26092970521542,18.056028083255427,7298726899356929285,Sam Shan Shops 🦋,sam.shan.shops,2609,39,16100,992,362800,23,,937,1100000,41300000
7083855279896628526_pitch_values,16,12.498480725623583,19.20233388910761,7083855279896628526,Sarah Lindner,thehouseofsequins,61,6,1065,16,27200,12,,27,417300,14300000
7264730735444053290_pitch_values,88,65.99725623582766,20.000831478254955,7264730735444053290,Justice Buys,justicebuys,353500,8091,1800000,79800,22000000,66,,66,1200000,36600000
7214836838295506218_pitch_values,13,19.68215419501134,9.9074521044767,7214836838295506218,Sarah Lindner,thehouseofsequins,118,1,473,26,8677,19,,27,417300,14300000
7217228193017826566_pitch_values,13,16.547460317460317,11.78428570058226,7217228193017826566,Anya,anya.bumag,2492,36,7581,629,207400,16,,278,818700,21800000
7291427155118984490_pitch_values,32,29.86990929705216,16.069683882413763,7291427155118984490,Jared Andersen,stuffyouactuallyneed,872,45,10200,261,143400,29,,1083,1400000,65700000
7073541372002798890_pitch_values,20,15.894399092970522,18.87457325345998,7073541372002798890,Sarah Lindner,thehouseofsequins,266,15,2570,104,41000,15,,27,417300,14300000
7205731316908821766_pitch_values,29,19.73439909297052,22.04272843326397,7205731316908821766,Sam Shan Shops 🦋,sam.shan.shops,10300,67,54300,4818,1200000,19,,937,1100000,41300000
7339753609657093418_pitch_values,30,19.55154195011338,23.016087485488093,7339753609657093418,Justice Buys,justicebuys,2279,24,11000,296,163300,19,,66,1200000,36600000
7218730784381865222_pitch_values,31,36.60950113378685,12.701620770539597,7218730784381865222,Sam Shan Shops 🦋,sam.shan.shops,4112,30,12900,771,198400,36,,937,1100000,41300000
7307737102316293381_pitch_values,108,56.20133786848073,28.824936584090484,7307737102316293381,Sam Shan Shops 🦋,sam.shan.shops,21000,184,66400,3126,2700000,56,,937,1100000,41300000
7187523128644406571_pitch_values,17,20.07399092970521,12.703004643817714,7187523128644406571,Jared Andersen,stuffyouactuallyneed,11100,213,78700,5110,2700000,20,,1083,1400000,65700000
7336590977735363886_pitch_values,35,42.04297052154195,12.4872242252959,7336590977735363886,Sarah Lindner,thehouseofsequins,46300,423,116500,5965,2900000,42,,27,417300,14300000
7219304142718635270_pitch_values,16,18.2192970521542,13.172846313059214,7219304142718635270,Sam Shan Shops 🦋,sam.shan.shops,54100,363,207200,22300,3500000,18,,937,1100000,41300000
7020851269514431750_pitch_values,25,23.9662358276644,15.647012851602453,7020851269514431750,Sarah Lindner,thehouseofsequins,28,4,752,7,15500,24,,27,417300,14300000
7278759417238129926_pitch_values,14,14.87562358276644,14.117055250261044,7278759417238129926,Anya,anya.bumag,21400,244,65800,7242,2300000,14,,278,818700,21800000
7333657516389321989_pitch_values,33,16.808684807256235,29.44906193888,7333657516389321989,Sam Shan Shops 🦋,sam.shan.shops,25300,444,113200,8904,2100000,16,,937,1100000,41300000
6985308081093709062_pitch_values,15,16.57358276643991,13.57582142441801,6985308081093709062,Sarah Lindner,thehouseofsequins,32,3,1764,12,22500,16,,27,417300,14300000
7225753297691479301_pitch_values,12,17.592358276643992,10.231715223704374,7225753297691479301,Anya,anya.bumag,2837,18,8185,331,226000,17,,278,818700,21800000
7205233800182271275_pitch_values,12,14.901746031746033,12.079121440973148,7205233800182271275,Sarah Lindner,thehouseofsequins,81,0,174,5,6210,14,,27,417300,14300000
7269443103222713643_pitch_values,70,53.4062358276644,19.66062546306813,7269443103222713643,Jared Andersen,stuffyouactuallyneed,791,25,8827,222,98700,53,,1083,1400000,65700000
7249776989316336901_pitch_values,54,51.13358276643991,15.840861449114431,7249776989316336901,Sam Shan Shops 🦋,sam.shan.shops,6232,52,19200,2278,523100,51,,937,1100000,41300000
7280978864224947461_pitch_values,37,22.16378684807256,25.040847207401505,7280978864224947461,Sam Shan Shops 🦋,sam.shan.shops,21000,569,116500,33100,2700000,22,,937,1100000,41300000
6968851528081755397_pitch_values,29,24.514807256235827,17.74437773274147,6968851528081755397,Sarah Lindner,thehouseofsequins,148,13,2773,62,27200,24,,27,417300,14300000
7310314995332533547_pitch_values,20,17.513990929705216,17.12916269079337,7310314995332533547,Justice Buys,justicebuys,1027,23,9231,96,179100,17,,66,1200000,36600000
7101426177033669931_pitch_values,13,20.51807256235828,9.50381666734818,7101426177033669931,Jared Andersen,stuffyouactuallyneed,7815,290,120800,1354,2400000,20,,1083,1400000,65700000
7039071783579831557_pitch_values,10,10.696031746031746,14.02389255769088,7039071783579831557,Anya,anya.bumag,843,15,6333,103,81900,10,,278,818700,21800000
7152896605312634117_pitch_values,27,32.09031746031746,12.620629275507127,7152896605312634117,Sam Shan Shops 🦋,sam.shan.shops,498,7,1820,48,64400,32,,937,1100000,41300000
7357078531039350021_pitch_values,23,19.05521541950113,18.105279442127248,7357078531039350021,Anya,anya.bumag,1065,14,3331,186,89800,19,,278,818700,21800000
6958587151793556742_pitch_values,13,19.316439909297053,10.095027909679462,6958587151793556742,Anya,anya.bumag,32700,739,213900,20900,3600000,19,True,278,818700,21800000
7093681045958085893_pitch_values,16,12.211133786848071,19.65419462183688,7093681045958085893,Anya,anya.bumag,1188,17,7198,112,147200,12,,278,818700,21800000
7370414643845549342_pitch_values,16,12.550725623582766,19.12240034544624,7370414643845549342,Justice Buys,justicebuys,1528,65,8190,494,171500,12,,66,1200000,36600000
6875463260485782790_pitch_values,24,37.94174603174603,9.488229658666375,6875463260485782790,Jared Andersen,stuffyouactuallyneed,1997,157,47700,1435,315000,37,,1083,1400000,65700000
7130093245006204165_pitch_values,10,20.07399092970521,7.472355672833949,7130093245006204165,Sam Shan Shops 🦋,sam.shan.shops,557,28,2247,163,93300,20,,937,1100000,41300000
7189396210497735982_pitch_values,32,12.080521541950114,39.73338388853329,7189396210497735982,Margaret & Stetson,everythingenvy,271,1,1221,36,42000,12,,27,406000,9400000
7096599451891961131_pitch_values,11,12.576848072562358,13.1193442942166,7096599451891961131,Jared Andersen,stuffyouactuallyneed,874,40,7142,193,144500,12,,1083,1400000,65700000
7021521007458503942_pitch_values,22,17.46174603174603,18.898453762873945,7021521007458503942,Sarah Lindner,thehouseofsequins,73,3,910,50,21200,17,,27,417300,14300000
7158836355827617029_pitch_values,24,26.8397052154195,13.412964006518925,7158836355827617029,Sam Shan Shops 🦋,sam.shan.shops,1001,26,3989,195,84400,26,,937,1100000,41300000
7017066328842358021_pitch_values,24,19.133582766439908,18.81508572620472,7017066328842358021,Sarah Lindner,thehouseofsequins,71,2,1063,38,18100,19,,27,417300,14300000
7217975957972356357_pitch_values,7,14.640521541950111,7.171875653414327,7217975957972356357,Anya,anya.bumag,2406,21,8653,619,232000,14,,278,818700,21800000
7143333264667757870_pitch_values,29,18.40215419501133,23.63853684683963,7143333264667757870,Margaret & Stetson,everythingenvy,456,4,2196,42,51600,18,,27,406000,9400000
